file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,17,css,2617c972,selinaz154,2025-01-13,17:03:41,-08:00,2025-01-13T17:03:41-08:00,0,19
style.css,18,css,455f34cc,selinaz154,2025-01-13,17:04:25,-08:00,2025-01-13T17:04:25-08:00,0,13
style.css,19,css,4730fff9,selinaz154,2025-01-13,17:13:34,-08:00,2025-01-13T17:13:34-08:00,0,43
style.css,20,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,33
style.css,21,css,44ccc484,selinaz154,2025-01-06,15:12:02,-08:00,2025-01-06T15:12:02-08:00,0,0
style.css,22,css,9e95737d,selinaz154,2025-01-13,20:36:52,-08:00,2025-01-13T20:36:52-08:00,0,0
style.css,23,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,18
style.css,24,css,fafe5307,selinaz154,2025-01-15,00:34:58,-08:00,2025-01-15T00:34:58-08:00,0,17
style.css,25,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,3
style.css,26,css,fafe5307,selinaz154,2025-01-15,00:34:58,-08:00,2025-01-15T00:34:58-08:00,0,0
style.css,27,css,f28bf911,selinaz154,2025-01-15,01:20:02,-08:00,2025-01-15T01:20:02-08:00,0,0
style.css,28,css,7f44457c,selinaz154,2025-01-15,01:01:11,-08:00,2025-01-15T01:01:11-08:00,0,4
style.css,29,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,0
style.css,30,css,8aecd498,selinaz154,2025-01-23,13:58:31,-08:00,2025-01-23T13:58:31-08:00,0,40
style.css,31,css,8aecd498,selinaz154,2025-01-23,13:58:31,-08:00,2025-01-23T13:58:31-08:00,0,0
style.css,32,css,8aecd498,selinaz154,2025-01-23,13:58:31,-08:00,2025-01-23T13:58:31-08:00,0,0
style.css,33,css,fafe5307,selinaz154,2025-01-15,00:34:58,-08:00,2025-01-15T00:34:58-08:00,0,13
style.css,34,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,32
style.css,35,css,6c489e70,selinaz154,2025-01-24,13:51:35,-08:00,2025-01-24T13:51:35-08:00,0,24
style.css,36,css,a3572d75,selinaz154,2025-01-15,01:06:09,-08:00,2025-01-15T01:06:09-08:00,0,0
style.css,37,css,a3572d75,selinaz154,2025-01-15,01:06:09,-08:00,2025-01-15T01:06:09-08:00,0,24
style.css,38,css,a3572d75,selinaz154,2025-01-15,01:06:09,-08:00,2025-01-15T01:06:09-08:00,0,26
style.css,39,css,a3572d75,selinaz154,2025-01-15,01:06:09,-08:00,2025-01-15T01:06:09-08:00,0,42
style.css,40,css,7f44457c,selinaz154,2025-01-15,01:01:11,-08:00,2025-01-15T01:01:11-08:00,0,0
